,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
676,ABU ROAD                                          ,Others,2017-06-10 11:45:31.570,Others,SIROHI,RAIN POSSIBILITY IN NEXT  3-4  DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
677,SHEOGANJ                                          ,Others,2017-06-10 13:05:55.543,Others,SIROHI,"VARIETY OF MOTH = CZM-2, RMO-40, RMO-435, RMO-225, RMO-257",TELL ME VARIETY OF MOTHBEAN,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
678,ABU ROAD                                          ,Others,2017-06-10 17:54:27.370,Others,SIROHI,SUBSIDY ON SOLAR PLANT=70% OF TOTAL COST,TELL ME SUBSIDY ON SOLAR PLANT,Government Schemes,KHARIF,AGRICULTURE,RAJASTHAN
679,PINDWARA                                          ,Others,2017-06-10 20:58:18.617,Others,SIROHI,LIGHT RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
680,PINDWARA                                          ,Others,2017-06-11 09:41:30.407,Others,SIROHI,DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL,TELL ME ABOUT TAKING SOIL SAMPLE ?,Soil Testing,KHARIF,AGRICULTURE,RAJASTHAN
681,PINDWARA                                          ,Fodder Crops,2017-06-11 09:46:38.633,Guar,SIROHI,"VARITEY OF BAJRA-HHB-67, RHB-173,RHB-121, GHB-538",TELL ME VARIETY OF BAJRA,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
682,PINDWARA                                          ,Fodder Crops,2017-06-11 09:49:26.740,Guar,SIROHI,"VARIETY OF GUAR = RGC-1066, RGC-936, RGC-1017, RGC 1055, RGC 1038, HG-365, HG 2-20",TELL ME VAREITY OF GUAR ?,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
683,PINDWARA                                          ,Vegetables,2017-06-11 10:36:35.107,Bhindi(Okra/Ladysfinger),SIROHI,SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER,TELL ME PEST CONTROL OF BHINDI,	Plant Protection	,KHARIF,HORTICULTURE,RAJASTHAN
684,SHEOGANJ                                          ,Others,2017-06-11 21:05:43.117,Others,SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
685,SIROHI                                            ,Others,2017-06-12 06:43:30.143,Others,SIROHI,RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
686,SHEOGANJ                                          ,Fiber Crops,2017-06-12 10:23:42.930,Cotton (Kapas),SIROHI,SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER,TELL ME CONTROL OF BACTERIAL BLIGHT DISEASE IN COTTON,	Plant Protection	,KHARIF,AGRICULTURE,RAJASTHAN
687,SHEOGANJ                                          ,Oilseeds,2017-06-12 10:48:57.810,Groundnut (pea nut/mung phalli),SIROHI,"VARIETY OF GROUNDNUT = GG 20, HNG 10, M 13, TG 37 A",TELL ME VAREITY OF GROUNDNUT ?,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
688,PINDWARA                                          ,Others,2017-06-12 11:20:59.990,Others,SIROHI,N0 RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
689,PINDWARA                                          ,Others,2017-06-12 11:25:19.193,Others,SIROHI,N0 RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
